country,tournament,season,roundInfo,time_match,Hometeam,Awayteam,FTResult,HTResult,TimeAwayScrore,TimeHomeScrore,DetailScore
South America,World Cup Qual. CONMEBOL,2022,Round 10,10/09/21,Argentina,Bolivia,0-2,0-1,90;9;,,-90;9;
South America,World Cup Qual. CONMEBOL,2022,Round 10,10/09/21,Argentina,Bolivia,1-2,0-1,65;18;,52;,52;-65;18;
South America,World Cup Qual. CONMEBOL,2022,Round 10,10/09/21,Argentina,Bolivia,1-0,0-0,,72;,72;-
South America,World Cup Qual. CONMEBOL,2022,Round 10,10/09/21,Argentina,Bolivia,1-0,1-0,,41;,41;-
South America,World Cup Qual. CONMEBOL,2022,Round 10,10/09/21,Argentina,Bolivia,3-0,2-0,,79;45;30;,79;45;30;-
South America,World Cup Qual. CONMEBOL,2022,Round 10,10/09/21,Argentina,Bolivia,0-0,0-0,,,-
South America,World Cup Qual. CONMEBOL,2022,Round 10,10/09/21,Argentina,Bolivia,0-0,0-0,,,-
South America,World Cup Qual. CONMEBOL,2022,Round 9,03/09/21,Peru,Uruguay,0-0,0-0,,,-
South America,World Cup Qual. CONMEBOL,2022,Round 9,03/09/21,Peru,Uruguay,0-1,0-1,7;,,-7;
South America,World Cup Qual. CONMEBOL,2022,Round 9,03/09/21,Peru,Uruguay,0-0,0-0,,,-
South America,World Cup Qual. CONMEBOL,2022,Round 9,03/09/21,Peru,Uruguay,1-0,1-0,,43;,43;-
South America,World Cup Qual. CONMEBOL,2022,Round 9,03/09/21,Peru,Uruguay,3-0,3-0,,39;31;9;,39;31;9;-
South America,World Cup Qual. CONMEBOL,2022,Round 9,03/09/21,Peru,Uruguay,4-1,2-0,77;,83;58;18;10;,83;58;18;10;-77;
South America,World Cup Qual. CONMEBOL,2022,Round 9,03/09/21,Peru,Uruguay,4-0,1-0,,90;84;53;21;,90;84;53;21;-
South America,World Cup Qual. CONMEBOL,2022,Round 8,09/06/21,Ecuador,Peru,1-0,0-0,,90;,90;-
South America,World Cup Qual. CONMEBOL,2022,Round 7,04/06/21,Uruguay,Paraguay,3-0,2-0,,73;37;18;,73;37;18;-
South America,World Cup Qual. CONMEBOL,2022,Round 7,04/06/21,Argentina,Chile,3-1,2-0,56;,74;20;19;,74;20;19;-56;
South America,World Cup Qual. CONMEBOL,2022,Round 7,04/06/21,Argentina,Chile,2-0,1-0,,64;35;,64;35;-
South America,World Cup Qual. CONMEBOL,2022,Round 7,04/06/21,Argentina,Chile,3-0,3-0,,19;17;14;,19;17;14;-
South America,World Cup Qual. CONMEBOL,2022,Round 7,04/06/21,Argentina,Chile,0-0,0-0,,,-
South America,World Cup Qual. CONMEBOL,2022,Round 7,04/06/21,Argentina,Chile,2-1,1-0,90;,46;7;,46;7;-90;
South America,World Cup Qual. CONMEBOL,2022,Round 7,04/06/21,Argentina,Chile,1-3,1-0,90;85;71;,11;,11;-90;85;71;
South America,World Cup Qual. CONMEBOL,2022,Round 7,04/06/21,Peru,Colombia,3-0,1-0,,88;64;14;,88;64;14;-
South America,World Cup Qual. CONMEBOL,2022,Round 1,10/10/20,Brazil,Bolivia,0-1,0-0,56;,,-56;
South America,World Cup Qual. CONMEBOL,2022,Round 1,10/10/20,Brazil,Bolivia,2-0,2-0,,40;14;,40;14;-
