Date,Compétition,Résultats,Equipe visitée,Score/Temps,Equipe visiteuse,Unnamed: 6
19/09/21,LI1,Marseille,2 - 0,Stade Rennais,Afficher les événements,
22/09/21,LI1,Angers,0 - 0,Marseille,,
26/09/21,LI1,Marseille,2 - 3,Lens,Afficher les événements,
30/09/21,LIE,Marseille,0 - 0,Galatasaray SK,,
03/10/21,LI1,LOSC Lille,2 - 0,Marseille,Afficher les événements,
17/10/21,LI1,Marseille,20 : 45,Lorient,,
21/10/21,LIE,Lazio,18 : 45,Marseille,,
24/10/21,LI1,Marseille,20 : 45,Paris Saint-Germain,,
27/10/21,LI1,Nice,21 : 00,Marseille,Afficher les événements,
31/10/21,LI1,Clermont,20 : 45,Marseille,,
